ID,Offset,DST Diff,DST Rule,Name,Country,City,Longitude,Latitude
86,6,1,0,DHAKA,Bangladesh,Dhaka,90.40714,23.70992
87,6,1,0,DIEGO GARCIA,UK,Diego Garcia,72.42286,-7.3195
88,3,1,0,DJIBOUTI,Djibouti,Djibouti,43.145,11.588
89,3,1,0,DOHA,Qatar,Doha,51.52248,25.28028
90,1,1,0,DOUALA,Cameroon,Douala,9.70637,4.04749
91,4,1,0,DUBAI,United Arab Emirates,Dubai,55.30749,25.27114
92,0,1,2,DUBLIN,Ireland,Dublin,-6.26031,53.34981
93,5,1,0,DUSHANBE,Tajikistan,Dushanbe,68.78,38.53667
94,-6,1,28,EASTER ISLAND,Chile,Easter Island,-109.41914,-27.14817
95,0,1,2,EDINBURGH,Scotland,Edinburgh,-3.18827,55.95325
96,-7,1,1,EDMONTON,Canada,Edmonton,-113.49093,53.54439
97,-7,1,1,EL PASO,United States,El Paso,-106.49681,31.76996
98,-2,1,0,FERNANDO DE NORONHA,Brazil,Fernando de Noronha,-32.41202,-3.8466
99,1,1,2,FLORENCE,Italy,Florence,11.248,43.77103
100,-4,1,0,FORT-DE-FRANCE,Martinique,Fort-de-France,-61.07256,14.60937
101,1,1,2,FRANKFURT,Germany,Frankfurt,8.68213,50.11092
102,0,1,0,FREETOWN,Sierra Leone,Freetown,-13.16912,8.44183
103,2,1,0,GABORONE,Botswana,Gaborone,25.90874,-24.65411
104,-6,1,0,GALAPAGOS ISLANDS,Ecuador,Galapagos Islands,-90.98207,-0.82928
105,1,1,2,GENEVA,Switzerland,Geneva,6.1423,46.19839
106,1,1,2,GENOA,Italy,Genoa,8.94626,44.40565
107,-4,1,0,GEORGE TOWN,Guyana,George Town,-58.15483,6.80461
108,-2,1,0,GRYTVIKEN,South Georgia,Grytviken,-36.508,-54.2815
109,10,1,0,GUAM,United States,Guam,144.79373,13.4443
110,8,1,0,GUANGZHOU,China,Guangzhou,113.26444,23.12916
111,-6,1,0,GUATEMALA CITY,Guatemala,Guatemala City,-90.53282,14.6248
112,8,1,0,HAIKOU,China,Haikou,110.32886,20.03079
113,-4,1,1,HALIFAX,Canada,Halifax,-63.57501,44.64831
114,1,1,2,HAMBURG,Germany,Hamburg,9.99368,53.55108
115,7,1,0,HANOI,Vietnam,Hanoi,105.85,21.03333
116,2,1,0,HARARE,Zimbabwe,Harare,31.05396,-17.82922
117,-5,1,21,HAVANA,Cuba,Havana,-82.38856,23.1168
118,2,1,2,HELSINKI,Finland,Helsinki,24.94102,60.17332
119,-10,1,0,HILO,United States,Hilo,-155.08234,19.71419
120,7,1,0,HO CHI MINH CITY,Vietnam,Ho Chi Minh City,106.62966,10.8231
121,10,1,4,HOBART,Australia,Hobart,147.32381,-42.8819
122,8,1,0,HONG KONG,Hong Kong,Hong Kong,114.16938,22.2804
123,-10,1,0,HONOLULU,United States,Honolulu,-157.85833,21.30694
124,-6,1,1,HOUSTON,United States,Houston,-95.36939,29.76019
125,7,1,0,HOVD,Mongolia,Hovd,91.64056,48.00417
126,5.5,1,0,HYDERABAD,India,Hyderabad,78.48667,17.38504
127,-5,1,1,INDIANAPOLIS,United States,Indianapolis,-86.15807,39.7684
128,8,1,0,IRKUTSK,Russia,Irkutsk,104.3,52.28333
129,5,1,0,ISLAMABAD,Pakistan,Islamabad,73.05729,33.71447
130,3,1,0,ISTANBUL,Turkey,Istanbul,28.97541,41.00933
131,4,1,0,IZHEVSK,Russia,Izhevsk,53.18333,56.83333
132,7,1,0,JAKARTA,Indonesia,Jakarta,106.8456,-6.20876
133,3,1,0,JEDDAH,Saudi Arabia,Jeddah,39.17278,21.54333
134,2,1,42,JERUSALEM,,Jerusalem,35.21371,31.76832
135,2,1,0,JOHANNESBURG,South Africa,Johannesburg,28.04731,-26.2041
136,4.5,1,0,KABUL,Afghanistan,Kabul,69.1717,34.52846
137,2,1,0,KALININGRAD,Russia,Kaliningrad,20.51667,54.71667
138,3,1,0,KAMPALA,Uganda,Kampala,32.58111,0.31361
139,5,1,0,KARACHI,Pakistan,Karachi,67.00994,24.86146
140,5.75,1,0,KATHMANDU,Nepal,Kathmandu,85.33333,27.7
141,10,1,0,KHABAROVSK,Russia,Khabarovsk,135.08959,48.48692
142,2,1,2,KHARKIV,Ukraine,Kharkiv,36.23038,49.9935
143,2,1,0,KHARTOUM,Sudan,Khartoum,32.53224,15.5501
144,-5,1,1,KINGSTON,Canada,Kingston,-76.48595,44.23117
145,-5,1,0,KINGSTON,Jamaica,Kingston,-76.79214,17.9926
146,1,1,0,KINSHASA,D.R. Congo,Kinshasa,15.31389,-4.33167
147,14,1,0,KIRITIMATI,Kiribati,Kiritimati,-157.3563,1.81694
148,5.5,1,0,KOLKATA,India,Kolkata,88.36389,22.57265
149,7,1,0,KRASNOYARSK,Russia,Krasnoyarsk,92.92568,55.99925
150,8,1,0,KUALA LUMPUR,Malaysia,Kuala Lumpur,101.68685,3.139
151,3,1,0,KUWAIT CITY,Kuwait,Kuwait City,47.97833,29.36972
152,2,1,2,KYIV,Ukraine,Kyiv,30.5234,50.4501
153,-4,1,0,LA PAZ,Bolivia,La Paz,-68.14625,-16.49901
154,1,1,0,LAGOS,Nigeria,Lagos,3.41798,6.44116
155,0,1,14,LAS PALMAS,Canary Islands - Spain,Las Palmas,-15.43606,28.13104
156,-8,1,1,LAS VEGAS,United States,Las Vegas,-115.15912,36.12822
157,-5,1,0,LIMA,Peru,Lima,-77.04279,-12.04637
158,0,1,2,LISBON,Portugal,Lisbon,-9.15079,38.72654
159,1,1,2,LJUBLJANA,Slivenia,Ljubljana,14.50807,46.05645
160,0,1,2,LONDON,UK,London,-0.12549,51.50852
161,-8,1,1,LOS ANGELES,United States,Los Angeles,-118.24368,34.05223
162,-5,1,1,LOUISVILLE,United States,Louisville,-85.75846,38.25266
163,1,1,0,LUANDA,Angola,Luanda,13.23444,-8.83833
164,2,1,0,LUBUMBASHI,D.R. Congo,Lubumbashi,27.47955,-11.66468
165,2,1,0,LUSAKA,Zambia,Lusaka,28.28717,-15.40819
166,1,1,2,LUXEMBOURG,Luxembourg,Luxembourg,6.13148,49.60791
167,2,1,2,LVIV,Ukraine,Lviv,24.02972,49.83968
168,8,1,0,MACAU,China,Macau,113.54387,22.19874
169,1,1,2,MADRID,Spain,Madrid,-3.70379,40.41678
170,11,1,0,MAGADAN,Russia,Magadan,150.8,59.55
171,1,1,0,MALABO,Equaorial Guinea,Malabo,8.78333,3.75
172,5,1,0,MALE,Maldives,Male,73.51091,4.1742
173,3,1,0,MAMOUDZOU,France,Mamoudzou,45.2278,-12.7806
174,-6,1,0,MANAGUA,Nicaragua,Managua,-86.25139,12.13639
175,3,1,0,MANAMA,Bahrain,Manama,50.58333,26.21667
176,8,1,0,MANILA,Philippines,Manila,120.98422,14.59951
177,2,1,0,MAPUTO,Mozambique,Maputo,32.58333,-25.96667
178,-4,1,0,MARIGOT,Saint Martin,Marigot,-63.08368,18.0696
179,-7,1,0,MAZATLAN,Mexico,Mazatlan,-106.41528,23.23611
180,3,1,0,MECCA,Saudi Arabia,Mecca,39.81667,21.41667
181,10,1,4,MELBOURNE,Australia,Melbourne,144.96328,-37.81411
182,-6,1,1,MEMPHIS,United States,Memphis,-90.04898,35.14953
183,1,1,2,MESSINA,Italy,Messina,15.55402,38.19381
184,-6,1,0,MEXICO CITY,Mexico,Mexico City,-99.13321,19.43261
185,-5,1,1,MIAMI,United States,Miami,-80.22644,25.78897
186,-11,1,0,MIDWAY,United States,Midway,-177.37634,28.20884
